lam,seed,r2,rho_pearson,rho_spearman,kl,entropia,tv,hoyer,best_epoch
0.001,8,0.761643860778292,0.9991594540023188,0.706457400922884,0.005997305430126191,5.211546900662885,0.018138648995331356,0.33579615514816047,290
0.001,9,0.8067997490342712,0.9982770526915642,0.706457400922884,0.00933086938962246,5.240534852009931,0.01928068564406463,0.32158486027586186,453
0.01,0,0.7930124596097083,0.9984211401027349,0.706457400922884,0.009112607922345351,5.238775681122068,0.01911873599248273,0.32235916418381705,425
0.01,1,0.7798900747165514,0.9990444742542615,0.706457400922884,0.006905470090273538,5.221467023555066,0.0178110167916332,0.33111082636699934,320
0.01,2,0.8027621342110216,0.9984588794983706,0.706457400922884,0.00901281476225469,5.237986169463522,0.018369162721293315,0.3227189126999422,462
0.01,3,0.8028194790308465,0.9981980140548148,0.706457400922884,0.0100342666299936,5.245709948348736,0.019305805542639325,0.31881376046465953,482
0.01,4,0.805404951454283,0.9982822450789598,0.706457400922884,0.010064892780616423,5.247099012205796,0.0184950697102717,0.31825113158294843,488
0.01,5,0.8056204336634002,0.9981621682216056,0.706457400922884,0.010125754629747812,5.246329004223918,0.019113273386444363,0.3184954697168021,471
0.01,6,0.8073109090337576,0.9983462599624613,0.706457400922884,0.009790973261027687,5.244742403926313,0.018463790150625364,0.31940640537903003,470
0.01,7,0.8114050252163849,0.9982667346200846,0.706457400922884,0.0097716328432521,5.243575634597303,0.01953661042664732,0.3198802279556682,472
0.01,8,0.7601638911194712,0.9991663330167849,0.706457400922884,0.005965538695989845,5.211256658060031,0.018119607919028828,0.3359393688472346,290
0.01,9,0.7982377480525631,0.9985228592442879,0.706457400922884,0.008460316512850338,5.233893263851696,0.019078607165387697,0.32494887790313887,416
0.1,0,0.7919555364261182,0.9986379725996164,0.706457400922884,0.008414994560110457,5.233741341913439,0.01852292806974479,0.32494227099427253,425
0.1,1,0.7769698916367576,0.999141045016084,0.706457400922884,0.006509164620531176,5.217995270406435,0.017487836416278567,0.3328342404811524,319
0.1,2,0.7701610164386399,0.9992848391047497,0.706457400922884,0.005312070220271046,5.204536881271713,0.016889869315283638,0.3391661318983199,297
0.1,3,0.803855348580849,0.9984041711868884,0.706457400922884,0.009412170078332957,5.241696167732755,0.01878648315157209,0.32093018202858614,482
0.1,4,0.7852987448197865,0.9988485115073914,0.7064574966121449,0.00761970824084395,5.227703013567947,0.01761912288410323,0.32804661216264563,389
0.1,5,0.78807462256064,0.9988134087930468,0.706457400922884,0.007731536253950225,5.228135928057656,0.018228930926748686,0.32773742323398913,391
0.1,6,0.8090880616226758,0.9985508293201457,0.706457400922884,0.009219812604890732,5.241045007519368,0.017941701358982494,0.3213489139028743,480
0.1,7,0.7914684371549329,0.9991130949741147,0.706457400922884,0.006237137657222879,5.214300816951953,0.01804823295346328,0.3345346027178307,328
0.1,8,0.7599734305270107,0.9992327574005888,0.7064574966121449,0.005725647596335213,5.208947344149646,0.017771397743906292,0.3370529951799569,290
0.1,9,0.7997753255480975,0.9986921607413313,0.706457400922884,0.007963391405836571,5.230085215686626,0.018629534010376248,0.32686093381000153,416
1.0,0,0.7859551757726734,0.999481228395235,0.706457400922884,0.004748338473007343,5.1994191663339935,0.015610216345105852,0.3417106591995588,425
1.0,1,0.7972838270981766,0.9995036874649966,0.706457400922884,0.0049050031955374515,5.20220431268827,0.015363066590258054,0.3405048136683137,451
1.0,2,0.8011849855969502,0.9994393926429136,0.706457400922884,0.004869467294650728,5.200956279251866,0.015190940935696874,0.3410247276471091,496
1.0,3,0.7798194154724143,0.9995257934139959,0.706457400922884,0.004318354827007918,5.193583242875404,0.01571635939180851,0.3443633764221256,354
1.0,4,0.7927032386725257,0.9994834147435611,0.706457400922884,0.00459422016651211,5.197280921689336,0.015530826098152569,0.3426913425605489,388
1.0,5,0.8026036488298023,0.9993496123294048,0.706457400922884,0.005286556352390952,5.205577087463521,0.015546204309378352,0.3388521747590004,487
1.0,6,0.8035626569100277,0.9994441407522359,0.706457400922884,0.005016415478013147,5.202800493425267,0.015353459918073246,0.34016215923661164,465
1.0,7,0.8175494463294515,0.999468992827054,0.706457400922884,0.004932876525334164,5.201859206256984,0.015558294472949846,0.3405871756415102,480
1.0,8,0.7599878645476338,0.9995860834707838,0.706457400922884,0.003827829516605124,5.186755748205442,0.015855006820389202,0.347468063617691,290
1.0,9,0.8062869503401437,0.9994487773293876,0.706457400922884,0.004803956533727265,5.20002533754554,0.01555422427398818,0.3414564123885531,453
10.0,0,0.7877661864286116,0.9999117659952329,0.706457400922884,0.00041098697619885966,5.106900973645022,0.013241783077163356,0.3814253368126599,442
10.0,1,0.7939904253189737,0.9999167521434703,0.706457400922884,0.0003886506917329486,5.10595361805834,0.013144214105393206,0.3818154640976787,491
10.0,2,0.7967760261263122,0.9999106748194219,0.706457400922884,0.0004118268917914864,5.1070280857769434,0.013171129833374704,0.3813903424785604,488
10.0,3,0.7962285221451743,0.9999061483185493,0.706457400922884,0.00041693448121310267,5.106981093528898,0.0132518327661923,0.38139748871789386,498
10.0,4,0.7929775250905982,0.9999042464514212,0.7064574966121449,0.0004386598139697152,5.1081018382043055,0.0132360486845885,0.3809497129877237,435
10.0,5,0.7918328692371505,0.9999067296102716,0.706457400922884,0.00041815633708555076,5.10706088995805,0.013183712134403842,0.38136352067614576,489
10.0,6,0.7939466641850572,0.9999070686923925,0.7064574966121449,0.00042294110483549616,5.107320267075977,0.013178449496626854,0.38125899835641547,470
10.0,7,0.7863717393532819,0.9999101207523907,0.706457400922884,0.0004603068140975661,5.109389823375587,0.01335284760487931,0.3804137849198002,328
10.0,8,0.754456176033507,0.9999071035909345,0.706457400922884,0.0004876530453524528,5.11062643678218,0.01336410077554839,0.3799129383162787,291
10.0,9,0.7974453510566637,0.9999107794301033,0.706457400922884,0.0004065990980635064,5.106598651861086,0.013182711042463779,0.38154687644747076,486
