lam,seed,init,r2,rho_pearson,rho_spearman,kl,entropia,tv,hoyer,best_epoch
0.001,2,zero,0.7922607380268598,0.315881257438397,0.321530854711725,1.1499605651433784,5.637945106341977,0.006739767427955355,0.0004385352107681785,417
0.001,3,zero,0.7993854205614447,0.34148584684982314,0.32824620767558166,1.1462213705221826,5.637895852180767,0.007761610937970025,0.0004899509916776186,488
0.001,4,zero,0.7729897949382547,0.3185237121758505,0.3020096669226223,1.1504714147820916,5.637974272368625,0.0067708402872085575,0.00040623733693045613,341
0.001,5,zero,0.7881758381595831,0.320891317137101,0.31009391286570426,1.1502084449674426,5.637960831565322,0.0069861011845724925,0.0004208764228155197,391
0.001,6,zero,0.7922972289023281,0.2790570366487463,0.27212389425611117,1.150996514923141,5.637950409315381,0.007001862568514688,0.0004321103683970793,387
0.001,7,zero,0.758031524512037,0.2604023436472142,0.2477776747904446,1.1524859257659779,5.638018702363151,0.0062177196145057675,0.0003586209805686693,278
0.001,8,zero,0.783503000297745,0.3099214578820609,0.28634191478564597,1.1504105625586427,5.63791598633151,0.007461106457880565,0.00046820416467558264,349
0.001,9,zero,0.8012724663598724,0.35058837608139065,0.3277581109345985,1.143031159005168,5.637920250712382,0.007241519221237728,0.0004642188966724109,476
0.01,0,zero,0.7785757946313213,0.6160465747348436,0.5314936750841763,1.1118550990837135,5.637705419443199,0.007924828678369522,0.0006930506698315089,360
0.01,1,zero,0.775805680720008,0.6076290549486837,0.5289168001392367,1.1155645743499247,5.637780528842535,0.006926946874175753,0.0006129291567431891,331
0.01,2,zero,0.7940634518400369,0.594532710054066,0.5407065968505993,1.115006189842733,5.637702490054499,0.007475544831582478,0.0006974318938920152,417
0.01,3,zero,0.8055360798718286,0.6225021141774694,0.5542890188767658,1.1055086737113997,5.637571542020025,0.00874537325331143,0.0008367993465092743,497
0.01,4,zero,0.8067299874905584,0.6418336719058356,0.552233572239894,1.1056021744561297,5.637596513614566,0.007778948332582201,0.0008111882606421739,485
0.01,5,zero,0.8028986499374022,0.6456214873469742,0.5563797126880259,1.1100081745495807,5.637725034149919,0.007877037354878018,0.0006728958792052205,406
0.01,6,zero,0.7899152968517402,0.5772605560490075,0.5064030506202912,1.1143966841825443,5.637699537937187,0.007712695854050772,0.0007007035867089131,387
0.01,7,zero,0.7985976163243161,0.604968067637559,0.5268636522311293,1.1081893673536045,5.63760797621726,0.007817285507917405,0.0007981350115700248,456
0.01,8,zero,0.7865291805539101,0.6085974476888716,0.542816829856357,1.1117210035753438,5.637652099195384,0.007819462141820362,0.0007491707768142157,378
0.01,9,zero,0.8107638027982389,0.6275208817951763,0.5402713708711983,1.1035368427209589,5.6375873033238655,0.008041113721472877,0.0008211796682908338,491
0.1,0,zero,0.8107184111536285,0.8641524034612076,0.6995663780607393,0.8405923739713641,5.627165605904637,0.018968498493943897,0.012454896088038485,484
0.1,1,zero,0.8093525183924288,0.8652104060937836,0.6971871937895417,0.8320992815081669,5.6266453397091825,0.01943059680717332,0.013042871207719357,493
0.1,2,zero,0.7915015489217581,0.8604423174689563,0.6970205359541197,0.8791373573447635,5.629876468497396,0.016409024383340562,0.00942543669656728,410
0.1,3,zero,0.7755400473557069,0.8645666964501303,0.6979802552132743,0.9007618780021401,5.631215124768352,0.016731943083660942,0.00789409254618534,329
0.1,4,zero,0.7858977912355628,0.8689231643375003,0.694817204433402,0.8964580697271988,5.630982863493779,0.014642070872443062,0.008160158471385608,347
0.1,5,zero,0.8169153659176553,0.8680945380714399,0.6986062756801239,0.8344425030414514,5.627170963189942,0.019277158805302213,0.012504407946648149,486
0.1,6,zero,0.7969633661132676,0.8566560519828654,0.6944095631991742,0.8738847599647491,5.6295421871372255,0.01778007618018559,0.009808552868355162,387
0.1,7,zero,0.812950428585238,0.8592899948618161,0.6958960744668469,0.8443458153776526,5.627545902704477,0.019432351206030166,0.012054011195766667,483
0.1,8,zero,0.7791262695922753,0.8675189164511988,0.6949451670012893,0.9110744945646626,5.631710643214219,0.014481712132692337,0.0073400389971182345,284
0.1,9,zero,0.7964735675885409,0.8593174874431935,0.6950263887509662,0.883820195649342,5.630090022372469,0.017315852854933058,0.009175578459836947,377
1.0,0,zero,0.8160499578473581,0.9674082283695168,0.7058319464296868,0.36837173840132653,5.528324183613973,0.025665104921375,0.11473122027693455,484
